X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
-1100, -2100, 1500, 0, image_-001100_-002100_+001500.png, 14, 4, 0
-1000, -2100, 1500, 0, image_-001000_-002100_+001500.png, 15, 4, 0
-900, -2100, 1500, 0, image_-000900_-002100_+001500.png, 16, 4, 0
-800, -2100, 1500, 0, image_-000800_-002100_+001500.png, 17, 4, 0
-700, -2100, 1500, 0, image_-000700_-002100_+001500.png, 18, 4, 0
-600, -2100, 1500, 0, image_-000600_-002100_+001500.png, 19, 4, 0
-500, -2100, 1500, 0, image_-000500_-002100_+001500.png, 20, 4, 0
-400, -2100, 1500, 0, image_-000400_-002100_+001500.png, 21, 4, 0
-300, -2100, 1500, 0, image_-000300_-002100_+001500.png, 22, 4, 0
-200, -2100, 1500, 0, image_-000200_-002100_+001500.png, 23, 4, 0
-100, -2100, 1500, 0, image_-000100_-002100_+001500.png, 24, 4, 0
0, -2100, 1500, 0, image_+000000_-002100_+001500.png, 25, 4, 0
100, -2100, 1500, 0, image_+000100_-002100_+001500.png, 26, 4, 0
200, -2100, 1500, 0, image_+000200_-002100_+001500.png, 27, 4, 0
300, -2100, 1500, 0, image_+000300_-002100_+001500.png, 28, 4, 0
400, -2100, 1500, 0, image_+000400_-002100_+001500.png, 29, 4, 0
500, -2100, 1500, 0, image_+000500_-002100_+001500.png, 30, 4, 0
600, -2100, 1500, 0, image_+000600_-002100_+001500.png, 31, 4, 0
700, -2100, 1500, 0, image_+000700_-002100_+001500.png, 32, 4, 0
800, -2100, 1500, 0, image_+000800_-002100_+001500.png, 33, 4, 0
900, -2100, 1500, 0, image_+000900_-002100_+001500.png, 34, 4, 0
1000, -2100, 1500, 0, image_+001000_-002100_+001500.png, 35, 4, 0
1100, -2100, 1500, 0, image_+001100_-002100_+001500.png, 36, 4, 0
1200, -2100, 1500, 0, image_+001200_-002100_+001500.png, 37, 4, 0
1300, -2100, 1500, 0, image_+001300_-002100_+001500.png, 38, 4, 0
1400, -2100, 1500, 0, image_+001400_-002100_+001500.png, 39, 4, 0
1500, -2100, 1500, 0, image_+001500_-002100_+001500.png, 40, 4, 0
1600, -2100, 1500, 0, image_+001600_-002100_+001500.png, 41, 4, 0
1700, -2100, 1500, 0, image_+001700_-002100_+001500.png, 42, 4, 0
1800, -2100, 1500, 0, image_+001800_-002100_+001500.png, 43, 4, 0
1900, -2100, 1500, 0, image_+001900_-002100_+001500.png, 44, 4, 0
2000, -2100, 1500, 0, image_+002000_-002100_+001500.png, 45, 4, 0
2100, -2100, 1500, 0, image_+002100_-002100_+001500.png, 46, 4, 0
2200, -2100, 1500, 0, image_+002200_-002100_+001500.png, 47, 4, 0
2300, -2100, 1500, 0, image_+002300_-002100_+001500.png, 48, 4, 0
2400, -2100, 1500, 0, image_+002400_-002100_+001500.png, 49, 4, 0
2500, -2100, 1500, 0, image_+002500_-002100_+001500.png, 50, 4, 0
-2500, -2000, 1500, 0, image_-002500_-002000_+001500.png, 0, 5, 0
-2400, -2000, 1500, 0, image_-002400_-002000_+001500.png, 1, 5, 0
-2300, -2000, 1500, 0, image_-002300_-002000_+001500.png, 2, 5, 0
-2200, -2000, 1500, 0, image_-002200_-002000_+001500.png, 3, 5, 0
-2100, -2000, 1500, 0, image_-002100_-002000_+001500.png, 4, 5, 0
-2000, -2000, 1500, 0, image_-002000_-002000_+001500.png, 5, 5, 0
-1900, -2000, 1500, 0, image_-001900_-002000_+001500.png, 6, 5, 0
-1800, -2000, 1500, 0, image_-001800_-002000_+001500.png, 7, 5, 0
-1700, -2000, 1500, 0, image_-001700_-002000_+001500.png, 8, 5, 0
-1600, -2000, 1500, 0, image_-001600_-002000_+001500.png, 9, 5, 0
-1500, -2000, 1500, 0, image_-001500_-002000_+001500.png, 10, 5, 0
-1400, -2000, 1500, 0, image_-001400_-002000_+001500.png, 11, 5, 0
-1300, -2000, 1500, 0, image_-001300_-002000_+001500.png, 12, 5, 0
-1200, -2000, 1500, 0, image_-001200_-002000_+001500.png, 13, 5, 0
-1100, -2000, 1500, 0, image_-001100_-002000_+001500.png, 14, 5, 0
